epoch,lr,train_loss,val_loss,val_mean_fg_dice
1,0.0002000000,4.687428,4.403846,0.001454
2,0.0001502500,4.543493,4.191799,0.001388
3,0.0000507500,4.469760,4.315650,0.000689
